timestamp,indicator_category,indicator_name,indicator_value,unit,frequency,source,quality_score,is_interpolated,is_seasonally_adjusted,metadata
2020-09-30 20:08:33.717068,consumer_business,consumer_confidence,100.67050090676196,index,monthly,conference_board,0.8986440677966101,False,False,{}
2020-10-31 20:08:33.717068,consumer_business,consumer_confidence,99.53544470206634,index,monthly,conference_board,0.8986440677966101,False,False,{}
2020-11-30 20:08:33.717068,consumer_business,consumer_confidence,103.23829919286902,index,monthly,conference_board,0.8986440677966101,False,False,{}
2020-12-31 20:08:33.717068,consumer_business,consumer_confidence,102.23815014244548,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-01-31 20:08:33.717068,consumer_business,consumer_confidence,101.54395483477704,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-02-28 20:08:33.717068,consumer_business,consumer_confidence,101.60487517128244,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-03-31 20:08:33.717068,consumer_business,consumer_confidence,102.24027596184251,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-04-30 20:08:33.717068,consumer_business,consumer_confidence,101.6434550389473,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-05-31 20:08:33.717068,consumer_business,consumer_confidence,98.9710328142058,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-06-30 20:08:33.717068,consumer_business,consumer_confidence,101.43698736463148,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-07-31 20:08:33.717068,consumer_business,consumer_confidence,101.84596270481671,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-08-31 20:08:33.717068,consumer_business,consumer_confidence,100.67617671048112,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-09-30 20:08:33.717068,consumer_business,consumer_confidence,98.59629578840249,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-10-31 20:08:33.717068,consumer_business,consumer_confidence,98.58298871977674,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-11-30 20:08:33.717068,consumer_business,consumer_confidence,95.73421017705076,index,monthly,conference_board,0.8986440677966101,False,False,{}
2021-12-31 20:08:33.717068,consumer_business,consumer_confidence,93.7074310577435,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-01-31 20:08:33.717068,consumer_business,consumer_confidence,95.7956572926808,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-02-28 20:08:33.717068,consumer_business,consumer_confidence,94.47833224526934,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-03-31 20:08:33.717068,consumer_business,consumer_confidence,95.01418268033588,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-04-30 20:08:33.717068,consumer_business,consumer_confidence,93.437488037144,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-05-31 20:08:33.717068,consumer_business,consumer_confidence,95.35253335382671,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-06-30 20:08:33.717068,consumer_business,consumer_confidence,96.05882603365482,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-07-31 20:08:33.717068,consumer_business,consumer_confidence,94.97097125760618,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-08-31 20:08:33.717068,consumer_business,consumer_confidence,93.64496878544658,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-09-30 20:08:33.717068,consumer_business,consumer_confidence,95.12018220429222,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-10-31 20:08:33.717068,consumer_business,consumer_confidence,94.53569529048326,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-11-30 20:08:33.717068,consumer_business,consumer_confidence,97.27218130441236,index,monthly,conference_board,0.8986440677966101,False,False,{}
2022-12-31 20:08:33.717068,consumer_business,consumer_confidence,97.47401154766828,index,monthly,conference_board,0.8986440677966101,False,False,{}
2023-01-31 20:08:33.717068,consumer_business,consumer_confidence,97.13029279024498,index,monthly,conference_board,0.8986440677966101,False,False,{}
2023-02-28 20:08:33.717068,consumer_business,consumer_confidence,97.75577776758205,index,monthly,conference_board,0.8986440677966101,False,False,{}
